tmdb_id,keyword
497,prison guard
497,jail
497,electric chair
497,torture
497,magic realism
497,healing
497,1930s
497,abuse of power
372058,race against time
372058,afterlife
372058,natural disaster
372058,supernatural
372058,time travel
372058,comet
372058,romance
372058,tragedy
372058,school
372058,body-swap
372058,nonlinear timeline
372058,star crossed lovers
372058,anime
372058,loving
372058,dreams
372058,romantic
680,drug dealer
680,boxer
680,massage
680,stolen money
680,briefcase
680,crime boss
680,redemption
680,heirloom
680,dance competition
680,"los angeles, california"
680,theft
680,nonlinear timeline
680,multiple storylines
680,neo-noir
680,hilarious
122,based on novel or book
122,orcs
122,elves
122,dwarf
122,bravery
122,suspicion
122,volcano
122,addiction
122,honor
122,royalty
122,troll
122,brutality
122,ghost
122,wizard
122,quest
122,live action and animation
122,sword and sorcery
13,vietnam war
13,vietnam veteran
13,mentally disabled
13,friendship
13,usa president
13,"washington dc, usa"
13,post-traumatic stress disorder (ptsd)
13,waitress
13,china
13,based on novel or book
13,hippie
13,single parent
13,parent child relationship
13,optimism
13,1970s
13,drug addiction
13,autism
13,alabama
13,black panther party
13,bus stop
13,family relationships
13,single mother
13,military
13,anti war protest
13,1960s
13,college american football
13,mother son relationship
13,loving
13,feel-good
429,gold
429,army
429,bounty hunter
429,hitman
429,refugee
429,anti hero
429,moral ambiguity
429,gallows
429,outlaw
429,shootout
429,spaghetti western
429,american civil war
429,dollars trilogy
769,prison
769,florida
769,new york city
769,based on novel or book
769,gangster
769,mass murder
769,drug trafficking
769,1970s
769,irish-american
769,gore
769,biography
769,based on true story
769,murder
769,organized crime
769,mafia
769,"brooklyn, new york city"
769,crime epic
769,"tampa, florida"
12477,sibling relationship
12477,hunger
12477,world war ii
12477,wartime
12477,shelter
12477,adult animation
12477,anti war
12477,anime
12477,orphan siblings
12477,children in wartime
346,epic
346,martial arts
346,japan
346,samurai
346,sword
346,peasant
346,village
346,looting
346,rice
346,fencing
346,moral ambiguity
346,battle
346,bandit
346,practice
346,jidaigeki
346,16th century
11216,parent child relationship
11216,"sicily, italy"
11216,movie business
11216,kiss
11216,coming of age
11216,flashback
11216,magic realism
11216,haunted by the past
11216,censorship
11216,nuovo cinema paradiso
11216,movie theater
637,dying and death
637,bookshop
637,love of one's life
637,nazi
637,self sacrifice
637,loss of loved one
637,italy
637,riddle
637,mass murder
637,concentration camp
637,fascism
637,holocaust (shoah)
637,world war ii
637,deportation
637,jew persecution
637,story teller
637,riding a bicycle
637,national socialism
637,dark comedy
637,charade
637,concentration camp prisoner
637,romantic comedy
637,dark
637,war
637,nazi germany
637,oscar-nominated
823464,giant monster
823464,sequel
823464,dinosaur
823464,kaiju
823464,fantasy world
823464,giant ape
823464,godzilla
823464,monsterverse
823464,king kong
1096197,ocean
1096197,bodyguard
1096197,rescue mission
1096197,childhood trauma
1096197,shark
1096197,airplane trip
1096197,sharks
1096197,air crash
1096197,survivor
1096197,depressing
969492,air force
969492,battle
969492,behind enemy lines
969492,special ops
969492,rescue operation
967847,new york city
967847,supernatural
967847,ghostbuster
967847,sequel
967847,teenage girl
967847,ghost
967847,duringcreditsstinger
967847,research laboratory
967847,evil force
967847,ancient artifact
1039773,satire
1039773,racial stereotype
1039773,playful
653346,post-apocalyptic future
653346,destruction of planet
653346,ape man
653346,dark future
653346,killer ape
653346,apocalyptic vision
653346,monkey king
653346,sacred monkey
838240,friendship
838240,based on comic
838240,summer
838240,robot
838240,adult animation
838240,sentimental
838240,depressing
278,prison
278,friendship
278,police brutality
278,corruption
278,based on novel or book
278,hope
278,prison cell
278,delinquent
278,redemption
278,parole board
278,prison escape
278,wrongful imprisonment
278,interracial friendship
278,framed for murder
278,1940s
278,voiceover
802219,jamaica
802219,biography
802219,rastafarian
802219,reggae music
802219,assassination attempt
802219,weed
802219,inspirational
802219,london
802219,cheerful
802219,earnest
929590,race against time
929590,"washington dc, usa"
929590,the white house
929590,civil war
929590,dystopia
929590,secession
929590,war journalism
929590,near future
508947,friendship
508947,canada
508947,concert
508947,temple
508947,shapeshifting
508947,"toronto, canada"
508947,coming of age
508947,teenage girl
508947,female protagonist
508947,east asian lead
508947,animal
508947,domineering mother
508947,perfectionist
508947,aftercreditsstinger
508947,chinese canadian
508947,woman director
508947,ancestor
508947,boy band
508947,mother daughter relationship
508947,red panda
560016,complex
560016,indian
560016,revenge thriller
560016,action thriller
618588,sweden
618588,lost dog
618588,dog rescue
618588,inspired by true events
618588,dog adventure
801112,italy
801112,pope
801112,baptism
801112,child kidnapping
801112,19th century
801112,bologna
801112,1800s
801112,1850s
4935,witch
4935,flying
4935,rain
4935,castle
4935,scarecrow
4935,body exchange
4935,hatter
4935,bakery
4935,curse
4935,steampunk
4935,demon
4935,anime
4935,based on young adult novel
1079485,sequel
1079485,revenge
1079485,slasher
1079485,based on children's book
1079485,psychotic villain
1079485,independent film
1079485,winnie the pooh
1079485,blood and honey
1079485,twisted childhood universe
974036,small town
974036,christianity
974036,snowstorm
974036,community
974036,based on true story
974036,alcoholism
974036,tragedy
974036,hospital
974036,kindness
974036,family
974036,sick child
974036,empathy
974036,1990s
974036,healthcare
974036,"louisville, ky"
974036,christian faith
974036,widower with daughter
974036,powerful woman
974036,hilarious
974036,inspired by true events
976893,tree
976893,routine
976893,toilet
976893,slice of life
976893,janitor
976893,working class
976893,"tokyo, japan"
976893,character study
976893,uncle niece relationship
976893,audio cassette
976893,solitude
976893,serene
976893,sentimental
976893,beauty in the mundane
1111873,ransom
1111873,vampire
1111873,kidnapping
1111873,monster movie
1111873,dracula
